Plan Name,MRP,LCO Price,BC Price,SD Count,HD Count
ZEE BOLLYWOOD 30d,3.54,3.19,2.83,1,0
ZEE CAFE 30d,11.8,10.62,9.44,1,0
ZEE CAFE HD 30d,11.8,10.62,9.44,0,1
ZEE CINEMA HD 30d,22.42,20.18,17.94,0,1
ZEE HINDUSTAN 30d,0.12,0.11,0.09,1,0
ZEE NEWS 30d,0.12,0.11,0.09,1,0
ZEE SALAAM 30d,0.12,0.11,0.09,1,0
ZEE TV 30d,22.42,20.18,17.94,1,0
ZEE TV HD 30d,22.42,20.18,17.94,0,1
ZING 30d,0.12,0.11,0.09,1,0
ZOOM 30d,0.59,0.53,0.47,1,0
ADITHYA TV 30d,10.62,9.56,8.5,1,0
ASIANET 30d,22.42,20.18,17.94,1,0
ASIANET PLUS 30d,8.26,7.43,6.61,1,0
CHINTU TV 30d,5.9,5.31,4.72,1,0
CNBC BAZAAR 30d,1.18,1.06,0.94,1,0
COLORS BANGLA 30d,8.26,7.43,6.61,1,0
COLORS KANNADA 30d,22.42,20.18,17.94,1,0
COLORS KANNADA HD 30d,22.42,20.18,17.94,0,1
ETV ANDHRA PRADESH 30d,2.36,2.12,1.89,1,0
ETV TELUGU 30d,22.42,20.18,17.94,1,0
GEMINI COMEDY 30d,5.9,5.31,4.72,1,0
GEMINI MOVIES 30d,20.06,18.05,16.05,1,0
GEMINI MUSIC 30d,4.72,4.25,3.78,1,0
GEMINI TV 30d,22.42,20.18,17.94,1,0
GEMINI TV HD 30d,22.42,20.18,17.94,0,1
KALAIGNAR ISAIARUVI 30d,4.72,4.25,3.78,1,0
JALSHA MOVIES 30d,17.7,15.93,14.16,1,0
KAIRALI 30d,0,0,0,1,0
KALAIGNAR TV 30d,14.16,12.74,11.33,1,0
KOCHU TV 30d,5.9,5.31,4.72,1,0
KTV 30d,22.42,20.18,17.94,1,0
KTV HD 30d,22.42,20.18,17.94,0,1
KUSHI TV 30d,4.72,4.25,3.78,1,0
MAA MOVIES 30d,22.42,20.18,17.94,1,0
NEWS18 LOKMAT 30d,0.12,0.11,0.1,1,0
CARTOON NETWORK HD+ 30d,7.08,6.37,5.66,0,1
CNBC AWAAZ 30d,0.12,0.11,0.09,1,0
CNBC TV18 30d,4.72,4.25,3.78,1,0
CNBC TV18 PRIME HD 30d,1.18,1.06,0.94,0,1
CNN INTERNATIONAL 30d,2.36,2.12,1.89,1,0
CNN NEWS18 30d,0.59,0.53,0.47,1,0
COLORS 30d,22.42,20.18,17.94,1,0
COLORS HD 30d,22.42,20.18,17.94,0,1
COLORS INFINITY 30d,5.9,5.31,4.72,1,0
COLORS INFINITY HD 30d,10.62,9.56,8.5,0,1
COMEDY CENTRAL HD 30d,10.62,9.56,8.5,0,1
DISCOVERY CHANNEL 30d,4.72,4.25,3.78,1,0
DISCOVERY HD 30d,9.44,8.5,7.55,0,1
INVESTIGATION DISCOVERY HD 30d,2.36,2.12,1.89,0,1
DISCOVERY KIDS 30d,4.13,3.72,3.3,1,0
DISCOVERY TURBO 30d,1.18,1.06,0.94,1,0
DISNEY CHANNEL 30d,11.8,10.62,9.44,1,0
DISNEY INTERNATIONAL HD 30d,16.52,14.87,13.22,0,1
EUROSPORT 30d,4.13,3.72,3.3,1,0
E24 30d,0,0,0,1,0
EPIC 30d,5.9,5.31,4.72,1,0
ET NOW 30d,2.36,2.12,1.89,1,0
FOOD FOOD 30d,0,0,0,1,0
FOX LIFE 30d,1.18,1.06,0.94,1,0
FOX LIFE HD 30d,2.36,2.12,1.89,0,1
HISTORY TV18 30d,3.54,3.19,2.83,1,0
HISTORY TV18 HD 30d,8.26,7.43,6.61,0,1
HUNGAMA TV 30d,1.18,1.06,0.94,1,0
INDIA TODAY 30d,1.77,1.59,1.42,1,0
ZEE ZEST 30d,1.18,1.06,0.94,1,0
LORD BUDDHA TV 30d,0,0,0,1,0
MIRROR NOW 30d,0.59,0.53,0.47,1,0
MN+ HD 30d,9.44,8.5,7.55,0,1
MNX HD 30d,10.62,9.56,8.5,0,1
B4U KADAK 30d,0,0,0,1,0
MOVIES NOW HD 30d,14.16,12.74,11.33,0,1
STAR GOLD 2 30d,2.36,2.12,1.89,1,0
MTV BEATS 30d,0.12,0.11,0.1,1,0
MTV BEATS HD 30d,1.18,1.06,0.94,0,1
MUSIC INDIA 30d,0,0,0,1,0
NAT GEO WILD 30d,1.18,1.06,0.94,1,0
NAT GEO WILD HD 30d,9.44,8.5,7.55,0,1
NATIONAL GEOGRAPHIC 30d,2.36,2.12,1.89,1,0
NDTV GOODTIMES 30d,1.77,1.59,1.42,1,0
NDTV INDIA 30d,1.18,1.06,0.94,1,0
NEPAL 1 30d,0,0,0,1,0
NEWS 24 30d,0,0,0,1,0
ZEE CINEMALU HD 30d,18.88,16.99,15.1,0,1
ZEE KANNADA 30d,22.42,20.18,17.94,1,0
ZEE KANNADA HD 30d,22.42,20.18,17.94,0,1
ZEE MARATHI 30d,22.42,20.18,17.94,1,0
ZEE TALKIES 30d,10.62,9.56,8.5,1,0
ZEE TAMIL 30d,22.42,20.18,17.94,1,0
ZEE TELUGU 30d,22.42,20.18,17.94,1,0
ZEE TELUGU HD 30d,22.42,20.18,17.94,0,1
ZEE YUVA 30d,1.18,1.06,0.94,1,0
CHANNEL WIN 30d,0,0,0,1,0
DANGAL 30d,0,0,0,1,0
BLACK & WHITE 30d,0,0,0,1,0
CAMPUS 30d,0,0,0,1,0
HITZ ENTERTAINMENT 30d,0,0,0,1,0
JAI MAHARASHTRA 30d,0,0,0,1,0
MAST MARATHI 30d,0,0,0,1,0
SAAM TV 30d,0,0,0,1,0
STAR PRAVAH HD 30d,22.42,20.18,17.94,0,1
ZEE MARATHI HD 30d,22.42,20.18,17.94,0,1
ZEE TALKIES HD 30d,22.42,20.18,17.94,0,1
COLORS ODIA 30d,7.08,6.37,5.66,1,0
ETV TELUGU HD 30d,22.42,20.18,17.94,0,1
JALSHA MOVIES HD 30d,22.42,20.18,17.94,0,1
STAR JALSHA HD 30d,22.42,20.18,17.94,0,1
ZEE BANGLA HD 30d,22.42,20.18,17.94,0,1
PTC NEWS 30d,0,0,0,1,0
COLORS RISHTEY 30d,1.18,1.06,0.94,1,0
COLORS CINEPLEX HD 30d,5.9,5.31,4.72,0,1
SADHNA BHAKTI 30d,0,0,0,1,0
SHRADDHA MH ONE 30d,0,0,0,1,0
SONY BBC EARTH 30d,3.54,3.19,2.83,1,0
SONY MAX HD 30d,22.42,20.18,17.94,0,1
SONY PIX 30d,11.8,10.62,9.44,1,0
SONY SAB HD 30d,22.42,20.18,17.94,0,1
SONY TEN 1 HD 30d,22.42,20.18,17.94,0,1
STAR VIJAY 30d,22.42,20.18,17.94,1,0
SUN LIFE 30d,10.62,9.56,8.5,1,0
SUN TV 30d,22.42,20.18,17.94,1,0
SURYA MOVIES 30d,12.98,11.68,10.38,1,0
ASIANET SUVARNA NEWS 30d,0,0,0,1,0
TV9 TELUGU 30d,0,0,0,1,0
UDAYA MUSIC 30d,5.9,5.31,4.72,1,0
ZEE BANGLA 30d,22.42,20.18,17.94,1,0
STAR PLUS 30d,22.42,20.18,17.94,1,0
STAR SPORTS 1 HINDI 30d,22.42,20.18,17.94,1,0
SVBC TTD 30d,0,0,0,1,0
TIMES NOW WORLD HD 30d,3.54,3.19,2.83,0,1
VH1 HD 30d,2.36,2.12,1.89,0,1
ZEE 24 KALAK 30d,0.12,0.11,0.09,1,0
ZEE ANMOL CINEMA 30d,0.12,0.11,0.09,1,0
ZEE BUSINESS 30d,0.12,0.11,0.09,1,0
ZEE CINEMA 30d,22.42,20.18,17.94,1,0
ASIANET MOVIES 30d,22.42,20.18,17.94,1,0
BHAKTI TV 30d,0,0,0,1,0
CHUTTI TV 30d,7.08,6.37,5.66,1,0
COLORS MARATHI 30d,11.8,10.62,9.44,1,0
COLORS TAMIL HD 30d,8.26,7.43,6.61,0,1
GEMINI LIFE 30d,5.9,5.31,4.72,1,0
GOODNESS 30d,0,0,0,1,0
MAA TV 30d,22.42,20.18,17.94,1,0
MAIBOLI 30d,0,0,0,1,0
COMEDY CENTRAL 30d,5.9,5.31,4.72,1,0
INVESTIGATION DISCOVERY 30d,1.18,1.06,0.94,1,0
DISCOVERY SCIENCE 30d,1.18,1.06,0.94,1,0
DISNEY JUNIOR 30d,4.72,4.25,3.78,1,0
INDIA TV 30d,0,0,0,1,0
ZEE ZEST HD 30d,11.8,10.62,9.44,0,1
MNX 30d,5.9,5.31,4.72,1,0
MOVIES NOW 30d,11.8,10.62,9.44,1,0
MTV 30d,3.54,3.19,2.83,1,0
MTV HD 30d,5.9,5.31,4.72,0,1
NDTV 24X7 30d,3.54,3.19,2.83,1,0
NDTV PROFIT 30d,1.18,1.06,0.94,1,0
BHOJPURI CINEMA 30d,0,0,0,1,0
COLORS MARATHI HD 30d,20.06,18.05,16.05,0,1
MBC TV 30d,0,0,0,1,0
UTSAV 30d,0,0,0,1,0
AAJ TAK HD 30d,2.36,2.12,1.89,0,1
ABP ANANDA 30d,0,0,0,1,0
AMRITA 30d,0,0,0,1,0
ARIHANT 30d,0,0,0,1,0
ZEE GANGA 30d,0.59,0.53,0.47,1,0
CARTOON NETWORK 30d,5.02,4.51,4.01,1,0
&&FLIX 30d,17.7,15.93,14.16,1,0
&&FLIX HD 30d,22.42,20.18,17.94,0,1
&&PICTURES 30d,11.8,10.62,9.44,1,0
&&PICTURES HD 30d,22.42,20.18,17.94,0,1
&&PRIVE HD 30d,7.08,6.37,5.66,0,1
&&TV 30d,7.08,6.37,5.66,1,0
&&TV HD 30d,22.42,20.18,17.94,0,1
DIVINE 30d,0,0,0,1,0
DJAY 30d,0,0,0,1,0
NEWS18 UP & UK 30d,0.12,0.11,0.1,1,0
SONY TV 30d,22.42,20.18,17.94,1,0
TRAVELXP 30d,3.54,3.19,2.83,1,0
TRAVELXP HD 30d,10.62,9.56,8.5,0,1
ZEE PB HR HP 30d,0.12,0.11,0.09,1,0
ZEE TAMIL HD 30d,22.42,20.18,17.94,0,1
SUN MUSIC HD 30d,22.42,20.18,17.94,0,1
SONY TV HD 30d,22.42,20.18,17.94,0,1
ALJAZEERA 30d,0,0,0,1,0
ASIANET HD 30d,22.42,20.18,17.94,0,1
COLORS BANGLA HD 30d,16.52,14.87,13.22,0,1
COLORS GUJARATI 30d,7.08,6.37,5.66,1,0
DTAMIL 30d,4.13,3.72,3.3,1,0
J MOVIE 30d,2.66,2.39,1.91,1,0
JAYA MAX 30d,2.66,2.39,3.54,1,0
JAYA PLUS 30d,0.59,0.53,0.94,1,0
NATIONAL GEOGRAPHIC HD 30d,16.52,14.87,13.22,0,1
NEWS18 BIHAR & JHARKHAND 30d,0.12,0.11,0.1,1,0
NICK HD 30d,11.8,10.62,9.44,0,1
GOD TV 30d,0,0,0,1,0
SUPER HUNGAMA 30d,4.72,4.25,3.78,1,0
TV9 GUJARATI 30d,0,0,0,1,0
CCC 30d,0,0,0,1,0
HFLICKS 1 30d,0,0,0,1,0
HFLICKS 2 30d,0,0,0,1,0
HMART 30d,0,0,0,1,0
HOME THEATRE 30d,0,0,0,1,0
DJAY RETRO 30d,0,0,0,1,0
MY HATHWAY 30d,0,0,0,1,0
NAAPTOL 30d,0,0,0,1,0
REPUBLIC BHARAT 30d,0,0,0,1,0
STAR SPORTS FIRST 30d,0.59,0.53,0.47,1,0
STAR UTSAV MOVIES 30d,0.59,0.53,0.47,1,0
FAKT MARATHI 30d,0,0,0,1,0
NEWS 7 TAMIL 30d,0,0,0,1,0
SANGEET MARATHI 30d,0,0,0,1,0
STAR SPORTS SELECT 2 30d,8.26,7.43,6.61,1,0
STAR GOLD SELECT 30d,8.26,7.43,6.61,1,0
MUNSIF TV 30d,0,0,0,1,0
MAZHAVIL MANORAMA HD 30d,0,0,0,0,1
POLIMER TV 30d,0,0,0,1,0
MARATHI TALKIES 30d,0,0,0,1,0
RDX 30d,0,0,0,1,0
SHARDDHA SUMAN 30d,0,0,0,1,0
HD PVR PACKAGE 30d,0,0,0,0,0
TV9 BHARATVARSH 30d,0,0,0,1,0
MAZHAVIL MANORAMA 30d,0,0,0,1,0
COLORS GUJARATI CINEMA 30d,1.18,1.06,1.06,1,0
NEWS18 GUJARATI 30d,0.12,0.11,0.09,1,0
COLORS TAMIL 30d,3.54,3.19,2.83,1,0
ETV LIFE 30d,2.36,2.12,1.89,1,0
MAA GOLD 30d,8.26,7.43,6.61,1,0
ZEE CINEMALU 30d,11.8,10.62,9.44,1,0
UDAYA TV HD 30d,22.42,20.18,17.94,0,1
JAYA TV HD 30d,7.08,6.37,5.66,0,1
MEGA MUSIC 30d,2.36,2.12,1.89,1,0
MEGA TV 30d,3.54,3.19,2.83,1,0
